变量名称,样本数,均值,标准差,最小值,最大值
商品房平均销售价格（元/平方米）,21.0,12166.283922902496,7992.302170697367,2347.0,25964.9166666667
人口数量（人）,21.0,6547329.285714285,404964.74790803,5941392.0,7233587.0
人均GDP（元）,21.0,59128.42857142857,37808.875509027544,15835.0,135298.0
人均个人储蓄存款余额（元）,21.0,43142.23223813693,27286.884185474322,9410.11130051678,103574.82394281
城镇人均可支配收入（元）,21.0,27331.52380952381,14424.321476655488,8675.0,53421.0
土地购置费（万元）,21.0,3301865.1428571427,3118309.639142757,102561.0,9929527.0
房地产行业年末从业人数（人）,21.0,802062.4761904762,602291.7506326663,158572.0,1951997.0
完成投资额（万元）,21.0,9432679.047619049,7163915.542122391,895214.0,22488134.0
竣工房屋面积（万平方米）,21.0,473.5766666666667,140.12706820358918,246.61,765.17
开发商市场垄断力指数,21.0,0.678701218845283,0.22191504590578634,0.349452715188098,1.3407961969659
居民消费价格指数（CPI）,21.0,102.01428571428572,1.7126837753320716,99.0,104.8
三年至五年期贷款利率,21.0,5.675238095238095,0.981415401589047,3.85,7.74
