变量名称,英文简称,英文说明
商品房平均销售价格（元/平方米）,Price,Average commercial housing selling price
人口数量（人）,Population,Population
人均GDP（元）,PerCapGDP,Per capita GDP
人均个人储蓄存款余额（元）,Savings,Per capita personal savings deposits
城镇人均可支配收入（元）,Income,Urban per capita disposable income
土地购置费（万元）,LandCost,Land acquisition cost
房地产行业年末从业人数（人）,Employment,Year-end employment in the real estate industry
完成投资额（万元）,Investment,Completed real estate investment
竣工房屋面积（万平方米）,CompletedArea,Completed housing area
开发商市场垄断力指数,Monopoly,Developer market monopoly index
居民消费价格指数（CPI）,CPI,Consumer price index
三年至五年期贷款利率,LoanRate,3-5 year loan interest rate
